#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 254231:4201 | 08/13/15 05:14:40 | 24   | 24   | 29417.304      | 28963.132     |
| 254232:4201 | 08/13/15 05:43:48 | 81   | 81   | 98232.785      | 96766.240     |
| 254790:4243 | 08/21/15 05:24:04 | 685  | 685  | 10612761.819   | 10364005.606  |
| 254852:4249 | 08/22/15 13:46:23 | 48   | 48   | 879591.220     | 823001.262    |
| 254879:4254 | 08/23/15 03:34:41 | 88   | 88   | 1753716.133    | 1663364.208   |
| 254906:4256 | 08/23/15 16:23:48 | 75   | 75   | 1515895.341    | 1485164.319   |
| 254907:4256 | 08/23/15 16:55:45 | 52   | 52   | 1036084.853    | 1016630.085   |
| 254914:4257 | 08/23/15 21:02:20 | 46   | 46   | 933036.603     | 866683.548    |
| 256630:4376 | 09/16/15 12:20:57 | 22   | 22   | 1014921.182    | 948417.609    |
| 256673:4381 | 09/17/15 01:46:10 | 2    | 2    | 94925.220      | 5534.408      |
| 256674:4381 | 09/17/15 01:47:46 | 2    | 2    | 94659.828      | 92567.485     |
| 256675:4381 | 09/17/15 01:50:18 | 160  | 160  | 7490123.111    | 7282554.291   |
| 256676:4381 | 09/17/15 02:55:57 | 207  | 207  | 9371002.166    | 9172872.886   |
| 256677:4381 | 09/17/15 09:59:03 | 477  | 477  | 17669974.569   | 15581756.928  |
| 256801:4386 | 09/18/15 16:00:07 | 191  | 191  | 9143432.342    | 8830347.675   |
| 256842:4391 | 09/19/15 06:58:19 | 2    | 2    | 89944.962      | 16510.582     |
| 256843:4391 | 09/19/15 07:02:10 | 971  | 971  | 38469813.528   | 37367788.087  |
| 256866:4393 | 09/19/15 22:02:52 | 14   | 14   | 723164.581     | 58250.406     |
| 256867:4393 | 09/19/15 22:11:45 | 92   | 92   | 4675245.538    | 4546508.033   |
| 256868:4393 | 09/19/15 22:55:07 | 486  | 486  | 23420399.038   | 22542014.201  |
| 256869:4393 | 09/20/15 02:07:40 | 34   | 34   | 1576286.877    | 1539580.832   |
| 256926:4397 | 09/20/15 19:09:17 | 28   | 28   | 1597950.386    | 1499855.808   |
| 256941:4398 | 09/21/15 07:30:01 | 209  | 209  | 8987717.777    | 8741029.381   |
| 257461:4418 | 09/25/15 05:51:21 | 52   | 52   | 3199775.447    | 3057928.782   |
| 257531:4423 | 09/26/15 09:37:19 | 135  | 135  | 8836120.248    | 8418598.194   |
| 257599:4426 | 09/26/15 21:47:23 | 77   | 77   | 5207917.295    | 4940876.751   |
| 257613:4428 | 09/27/15 04:26:52 | 1294 | 1294 | 77944610.081   | 75639153.224  |
| 257614:4428 | 09/27/15 12:52:08 | 16   | 16   | 869861.399     | 850778.922    |
| 257645:4432 | 09/27/15 23:26:52 | 1059 | 1059 | 64260951.889   | 62520503.888  |
| 257682:4434 | 09/28/15 11:59:23 | 301  | 301  | 13527612.206   | 13053256.987  |
| 257722:4435 | 09/28/15 17:20:59 | 19   | 19   | 887405.589     | 810552.138    |
| 257723:4435 | 09/28/15 17:31:51 | 142  | 142  | 6498960.052    | 5941442.106   |
| 257735:4435 | 09/28/15 22:05:27 | 15   | 15   | 531813.225     | 521278.124    |
| 257751:4437 | 09/29/15 04:53:56 | 463  | 463  | 27766249.689   | 27029514.967  |
| 257804:4440 | 09/29/15 13:35:04 | 17   | 17   | 1234849.058    | 210956.374    |
| 257805:4440 | 09/29/15 13:49:01 | 249  | 249  | 17552525.182   | 17038078.687  |
| 257816:4440 | 09/29/15 15:33:56 | 385  | 385  | 25087948.308   | 24328019.178  |
| 257819:4440 | 09/29/15 18:11:51 | 248  | 248  | 15638485.471   | 15147148.510  |
