#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 254231:4201 | 08/13/15 05:14:40 | 24   | 24   | 33138.485      | 32626.916     |
| 254232:4201 | 08/13/15 05:43:48 | 81   | 81   | 110184.436     | 108539.723    |
| 254790:4243 | 08/21/15 05:24:04 | 685  | 685  | 11605943.026   | 11333305.274  |
| 254852:4249 | 08/22/15 13:46:23 | 48   | 48   | 959960.760     | 898963.031    |
| 254879:4254 | 08/23/15 03:34:41 | 88   | 88   | 1895968.466    | 1798475.919   |
| 254906:4256 | 08/23/15 16:23:48 | 75   | 75   | 1597591.232    | 1565208.707   |
| 254907:4256 | 08/23/15 16:55:45 | 52   | 52   | 1091487.189    | 1070993.080   |
| 254914:4257 | 08/23/15 21:02:20 | 46   | 46   | 993829.670     | 923324.411    |
| 256630:4376 | 09/16/15 12:20:57 | 22   | 22   | 1092761.593    | 1019427.537   |
| 256673:4381 | 09/17/15 01:46:10 | 2    | 2    | 99832.950      | 5821.004      |
| 256674:4381 | 09/17/15 01:47:46 | 2    | 2    | 99302.405      | 97107.612     |
| 256675:4381 | 09/17/15 01:50:18 | 160  | 160  | 7849524.162    | 7631339.155   |
| 256676:4381 | 09/17/15 02:55:57 | 207  | 207  | 9793747.718    | 9586678.621   |
| 256677:4381 | 09/17/15 09:59:03 | 477  | 477  | 18367246.351   | 16208124.083  |
| 256801:4386 | 09/18/15 16:00:54 | 189  | 189  | 9511173.757    | 9236893.716   |
| 256843:4391 | 09/19/15 07:02:10 | 971  | 971  | 40362166.080   | 39192996.677  |
| 256866:4393 | 09/19/15 22:02:52 | 14   | 14   | 757843.030     | 60179.433     |
| 256867:4393 | 09/19/15 22:11:45 | 92   | 92   | 4913613.818    | 4778327.656   |
| 256868:4393 | 09/19/15 22:55:07 | 486  | 486  | 24546225.747   | 23626060.836  |
| 256869:4393 | 09/20/15 02:07:40 | 34   | 34   | 1651719.692    | 1613257.519   |
| 256926:4397 | 09/20/15 19:09:17 | 28   | 28   | 1689563.183    | 1585513.104   |
| 256941:4398 | 09/21/15 07:30:01 | 209  | 209  | 9411864.875    | 9153369.805   |
| 257461:4418 | 09/25/15 05:51:21 | 52   | 52   | 3427246.292    | 3273371.101   |
| 257531:4423 | 09/26/15 09:37:19 | 135  | 135  | 9394696.392    | 8952857.360   |
| 257599:4426 | 09/26/15 21:47:23 | 77   | 77   | 5564981.768    | 5277913.939   |
| 257613:4428 | 09/27/15 04:26:52 | 1294 | 1294 | 82799632.188   | 80350501.578  |
| 257614:4428 | 09/27/15 12:52:08 | 16   | 16   | 919074.018     | 898910.938    |
| 257645:4432 | 09/27/15 23:26:52 | 1059 | 1059 | 68160020.189   | 66315220.235  |
| 257682:4434 | 09/28/15 11:59:23 | 301  | 301  | 14569734.275   | 14059859.130  |
| 257722:4435 | 09/28/15 17:20:59 | 19   | 19   | 956606.613     | 874139.924    |
| 257723:4435 | 09/28/15 17:31:51 | 142  | 142  | 7019337.030    | 6416461.542   |
| 257735:4435 | 09/28/15 22:05:27 | 15   | 15   | 587615.257     | 576143.428    |
| 257751:4437 | 09/29/15 04:53:56 | 463  | 463  | 29680404.147   | 28892223.256  |
| 257804:4440 | 09/29/15 13:35:04 | 17   | 17   | 1317383.953    | 225829.957    |
| 257805:4440 | 09/29/15 13:49:01 | 249  | 249  | 18741121.322   | 18191777.239  |
| 257816:4440 | 09/29/15 15:33:56 | 385  | 385  | 26637823.645   | 25831347.642  |
| 257819:4440 | 09/29/15 18:11:51 | 248  | 248  | 16590859.087   | 16070065.308  |
| 257968:4444 | 09/30/15 23:42:22 | 258  | 258  | 18564612.656   | 17947956.702  |
| 257969:4444 | 10/01/15 01:24:08 | 634  | 634  | 42819344.139   | 41763127.477  |
| 258129:4448 | 10/02/15 09:56:47 | 95   | 95   | 6426942.093    | 6161039.580   |
| 258136:4448 | 10/02/15 10:38:14 | 60   | 60   | 3981543.789    | 3833715.336   |
| 258157:4449 | 10/02/15 14:07:10 | 56   | 56   | 4246566.735    | 4130426.007   |
